"Day","Hour","Metro","scaled"
4,9,"Atlanta",50.2
4,10,"Atlanta",61.3
4,11,"Atlanta",79.4
4,12,"Atlanta",87
4,13,"Atlanta",85.5
4,14,"Atlanta",87.4
4,15,"Atlanta",100
4,16,"Atlanta",97.1
4,17,"Atlanta",89
4,18,"Atlanta",80
4,19,"Atlanta",69.1
4,20,"Atlanta",63.6
4,21,"Atlanta",50.3
4,22,"Atlanta",37.6
4,23,"Atlanta",24.4
5,0,"Atlanta",12.4
5,1,"Atlanta",5.7
5,2,"Atlanta",1.5
5,3,"Atlanta",0
5,4,"Atlanta",1
5,5,"Atlanta",6.2
5,6,"Atlanta",18.7
5,7,"Atlanta",34.1
5,8,"Atlanta",44.4
5,9,"Atlanta",57
5,10,"Atlanta",60.8
5,11,"Atlanta",71.5
5,12,"Atlanta",79.4
5,13,"Atlanta",84.1
5,14,"Atlanta",86.3
5,15,"Atlanta",100
5,16,"Atlanta",97.2
5,17,"Atlanta",92.5
5,18,"Atlanta",78.4
5,19,"Atlanta",60.8
5,20,"Atlanta",47.3
5,21,"Atlanta",38.3
5,22,"Atlanta",33.5
5,23,"Atlanta",25.2
6,0,"Atlanta",12.9
6,1,"Atlanta",6.2
6,2,"Atlanta",2.7
6,3,"Atlanta",1.1
6,4,"Atlanta",0
6,5,"Atlanta",2.7
6,6,"Atlanta",12
6,7,"Atlanta",25.9
6,8,"Atlanta",41.5
6,9,"Atlanta",59.6
6,10,"Atlanta",66.7
6,11,"Atlanta",77.9
6,12,"Atlanta",83.4
6,13,"Atlanta",85.5
6,14,"Atlanta",85.7
6,15,"Atlanta",95.9
6,16,"Atlanta",100
6,17,"Atlanta",97.4
6,18,"Atlanta",82.8
6,19,"Atlanta",69.6
6,20,"Atlanta",53.1
6,21,"Atlanta",41.6
6,22,"Atlanta",33.5
6,23,"Atlanta",23.3
7,0,"Atlanta",14.6
7,1,"Atlanta",7.3
7,2,"Atlanta",3
7,3,"Atlanta",1.5
7,4,"Atlanta",0
7,5,"Atlanta",2.5
7,6,"Atlanta",9
7,7,"Atlanta",19
7,8,"Atlanta",31.6
7,9,"Atlanta",49.2
7,10,"Atlanta",57.3
7,11,"Atlanta",70.2
7,12,"Atlanta",83.7
7,13,"Atlanta",88.1
7,14,"Atlanta",87.8
7,15,"Atlanta",97.8
7,16,"Atlanta",100
7,17,"Atlanta",96.4
7,18,"Atlanta",74
7,19,"Atlanta",60.6
7,20,"Atlanta",42.3
7,21,"Atlanta",27.4
7,22,"Atlanta",17.3
7,23,"Atlanta",9
3,0,"Los Angeles",5.5
3,1,"Los Angeles",1.7
3,2,"Los Angeles",0.2
3,3,"Los Angeles",0
3,4,"Los Angeles",4.3
3,5,"Los Angeles",17.5
3,6,"Los Angeles",45
3,7,"Los Angeles",71
3,8,"Los Angeles",69.8
3,9,"Los Angeles",65.7
3,10,"Los Angeles",60.9
3,11,"Los Angeles",65.8
3,12,"Los Angeles",75
3,13,"Los Angeles",81.2
3,14,"Los Angeles",87.6
3,15,"Los Angeles",91.5
3,16,"Los Angeles",100
3,17,"Los Angeles",93.7
3,18,"Los Angeles",76
